imo,ofac,uk,eu
9198317,True,False,False
9198783,True,True,True
9199127,True,True,True
9200861,True,False,False
9201994,True,False,False
9202053,True,False,False
9203265,True,False,False
9203277,True,False,False
9203710,True,False,False
9203772,True,False,False
9203784,True,False,False
9203928,True,False,False
9203930,True,False,False
9204764,True,False,False
9204776,True,False,False
9204805,True,False,False
9205067,False,True,True
9206396,True,False,False
9206671,False,True,True
9207027,False,True,True
9207273,True,False,False
9208069,True,True,True
9208124,False,True,True
9208215,True,False,False
9208239,True,False,False
9209348,True,False,False
9209350,True,False,False
9209972,False,True,True
9210256,True,False,False
9210359,True,False,False
9211896,False,False,True
9211999,True,True,True
9212008,True,False,False
9212400,True,False,False
9212759,True,False,False
9212888,True,False,False
9212890,True,False,False
9212905,True,False,False
9212917,True,False,False
9212929,True,False,False
9213387,True,False,False
9213399,True,False,False
9215103,True,False,False
9216298,True,True,True
9216482,True,False,False
9216547,True,False,False
9216559,True,False,False
9216717,True,False,False
9217979,True,False,False
9218181,True,False,False
9218301,True,False,False
9218454,True,False,False
9218466,True,False,False
9218478,True,False,False
9218480,True,False,False
9218492,True,False,False
9219056,True,False,False
9220639,True,False,False
9220641,True,False,False
9220914,True,False,False
9220938,True,False,False
9220940,True,False,False
9220952,True,False,False
9221267,True,False,False
9221475,True,False,False
9221671,True,False,False
9221970,True,False,False
9222443,True,False,False
9222560,False,True,True
9222649,True,False,False
9223344,True,False,False
9223540,True,False,False
9224271,True,False,False
9224283,True,True,True
9224295,True,False,False
9224439,False,True,True
9224441,False,True,True
9224465,True,True,True
9224570,True,False,False
9224790,True,False,False
9224805,True,True,False
9225342,True,False,False
9226011,True,False,False
9226944,True,False,False
9226956,True,False,False
9226968,True,False,False
9227443,False,True,True
9227479,True,False,False
9228538,True,False,False
9228784,True,False,False
9228980,True,False,False
9229362,True,False,False
9229374,False,True,True
9229439,True,False,False
9230098,True,False,False
9230426,True,False,False
9230880,True,False,False
9230907,True,False,False
9230971,True,True,True
9231212,True,True,True
9231224,True,False,False
9231509,False,True,True
9231901,True,False,False
9232448,True,False,False
9232450,True,False,False
9232620,True,False,False
9232876,True,False,False
9232888,False,True,True
9232929,False,True,True
9232931,False,True,True
9232955,True,False,False
9233208,True,False,False
9233222,True,False,False
9233234,True,False,False
9233349,True,True,True
9233739,True,False,False
9233741,True,True,True
9233753,True,False,False
9233765,True,True,True
9233777,False,True,True
9233973,True,False,False
9234472,True,False,False
9234501,False,True,True
9234616,True,False,False
9234642,False,False,True
9234666,True,False,False
9235000,False,False,True
9235127,True,False,False
9235244,True,False,False
9235464,True,False,False
9235713,True,True,True
9235725,False,True,True
9235737,True,False,False
9236004,False,True,True
9236016,False,True,True
9236248,True,True,True
9236250,True,False,False
9236353,False,True,True
9236640,True,True,True
9236652,True,False,False
9236731,True,False,False
9236743,False,True,True
9237008,True,False,False
9237084,True,False,False
9237228,True,True,True
9237412,True,True,True
9237539,True,False,False
9237618,True,False,False
9237632,True,False,False
9237773,True,False,False
9237797,True,False,False
9238052,True,True,False
9238868,True,False,False
9239458,True,False,False
9239989,True,False,False
9240158,True,False,False
9240419,True,False,False
9240512,True,False,False
9240550,True,False,False
9240885,True,True,True
9240914,True,False,False
9241114,True,False,False
9241487,True,False,False
9242118,True,False,False
9242120,True,False,False
9242223,True,True,True
9242443,True,False,False
9242481,True,False,False
9242986,True,False,False
9243148,True,True,True
9243801,True,False,False
9243825,True,False,False
9244635,True,False,False
9245304,True,False,False
9245316,True,False,False
9245794,True,False,False
9246140,True,False,False
9246279,True,False,False
9246281,True,False,False
9246322,True,False,False
9246487,True,False,False
9246803,True,False,False
9247194,False,True,False
9247376,False,True,True
9247388,True,False,False
9247390,True,False,False
9247429,False,True,True
9247431,False,True,True
9247443,False,True,True
9247778,True,True,True
9247780,True,True,True
9247792,False,True,True
9247883,False,True,True
9247986,True,False,False
9248473,True,False,False
9248485,True,False,False
9248497,True,False,False
9248796,False,True,True
9248801,False,True,True
9248849,False,True,True
9249087,True,True,False
9249128,True,True,True
9249130,False,True,True
9249312,False,True,True
9249324,True,False,False
9249685,True,False,False
9250385,True,False,False
9250505,True,False,False
9250531,True,True,True
9250543,False,True,True
9250892,False,True,True
9250907,True,False,False
9251274,True,True,True
9251456,False,True,True
9251602,True,False,False
9251640,True,False,False
9251810,True,True,True
9251822,True,False,False
9251884,True,False,False
9251896,True,False,False
9251951,True,False,False
9252072,True,False,False
9252333,True,False,False
9252400,True,True,True
9252943,True,False,False
9252955,True,True,True
9252967,False,False,True
9253076,False,True,True
9253117,True,False,False
9253234,False,True,True
9253313,False,True,True
9253325,True,True,True
9253894,False,True,True
9253909,False,True,False
9254082,True,False,False
9254422,True,False,False
9254850,True,False,False
9254862,True,False,False
9254915,True,False,False
9255244,False,True,True
9255270,True,True,True
9255402,True,False,False
9255488,True,False,False
9255660,False,True,True
9255672,False,True,True
9255684,True,True,True
9255830,False,True,True
9255880,True,False,False
9255933,True,False,False
9255945,True,False,False
9256016,True,False,False
9256028,False,True,True
9256054,True,True,True
9256066,True,True,True
9256078,True,True,True
9256248,True,False,False
9256468,True,False,False
9256602,True,True,True
9256858,False,True,False
9256860,True,False,False
9256913,True,False,False
9256975,True,False,False
9256987,True,False,False
9257022,False,True,True
9257137,True,True,True
9257149,True,False,False
9257503,True,False,False
9257711,True,False,False
9257802,False,True,True
9257814,False,True,True
9257993,True,True,False
9258002,True,True,True
9258026,False,True,True
9258167,False,True,True
9258478,False,False,True
9258519,True,False,False
9258521,True,True,False
9258595,True,False,False
9258674,True,False,False
9258868,False,True,True
9258870,True,False,False
9258882,False,True,True
9259185,True,True,True
9259197,True,True,True
9259317,True,False,False
9259367,True,False,False
9259408,True,False,False
9259599,True,True,False
9259692,True,False,False
9259733,False,True,True
9259745,True,True,True
9259927,True,False,False
9259991,False,True,True
9260055,True,False,False
9260067,True,False,True
9260275,False,True,True
9260483,False,False,True
9260823,False,True,True
9261401,False,True,True
9261619,False,True,True
9261657,False,True,True
9262156,True,False,False
9262168,True,False,False
9262754,True,False,False
9262766,True,False,False
9262912,True,False,False
9262924,False,True,True
9263186,False,True,True
9263198,False,True,True
9263203,False,True,True
9263215,True,False,False
9263227,True,False,False
9263382,True,False,False
9263643,True,True,True
9263693,False,False,True
9263954,True,False,False
9264570,True,True,True
9264881,True,False,False
9264893,True,False,False
9265744,True,False,False
9265756,False,True,True
9265873,False,True,True
9265885,False,True,True
9266475,False,True,True
9266750,False,True,True
9266841,True,False,False
9266853,True,True,True
9266865,False,True,True
9266877,False,True,True
9267132,True,False,False
9267297,True,False,False
9267948,True,False,False
9267950,True,False,False
9267962,True,False,False
9268112,True,True,True
9268186,True,False,False
9268710,True,False,True
9269403,True,False,False
9270517,False,True,True
9270529,True,True,True
9270555,False,True,True
9270646,True,False,False
9270658,True,False,False
9270684,True,False,False
9270696,True,False,False
9270749,False,True,True
9271327,True,True,True
9271406,True,False,False
9271585,True,True,True
9271896,True,False,False
9271951,False,True,True
9272412,True,False,False
9272694,True,False,False
9272931,False,True,True
9273002,True,False,False
9273052,True,True,True
9273260,True,False,False
9273337,True,False,False
9273387,False,True,False
9273442,False,True,False
9274082,False,True,True
9274331,False,False,True
9274343,False,False,True
9274434,True,True,True
9274446,True,True,False
9274563,True,False,False
9274616,True,False,False
9274800,False,True,True
9274941,True,False,False
9275658,True,False,False
9275660,True,False,False
9275995,True,False,False
9276028,True,True,True
9276030,False,True,True
9276561,False,True,True
9276573,True,False,False
9276585,True,False,False
9277371,True,False,False
9277723,True,False,False
9277735,True,True,True
9277747,False,True,True
9277759,False,True,True
9278064,False,True,True
9278600,True,False,False
9278698,True,False,False
9279422,True,False,False
9279434,True,False,False
9280366,True,False,False
9280873,True,False,False
9280885,True,True,True
9281009,False,True,True
9281011,True,True,True
9281152,True,True,True
9281554,True,False,False
9281683,True,False,True
9281695,True,False,False
9281891,True,True,True
9282041,True,True,True
9282106,True,False,False
9282479,True,True,True
9282481,True,True,True
9282493,False,True,True
9282508,True,False,False
9282522,True,False,False
9282792,True,True,True
9282986,False,True,True
9283007,True,False,False
9283019,True,False,False
9283021,True,False,False
9283033,True,False,False
9283241,True,True,True
9283289,False,True,True
9283291,False,True,True
9283306,False,True,True
9283746,True,False,False
9283758,True,False,False
9283760,True,False,False
9283801,True,False,False
9284142,True,False,False
9284154,True,False,False
9284582,True,True,True
9284594,True,True,True
9284726,False,True,True
9285744,True,False,False
9285756,True,False,False
9285835,False,True,True
9285847,True,True,True
9285859,False,True,True
9286023,False,True,True
9286073,True,False,True
9286229,True,False,False
9286281,False,True,True
9286463,True,True,True
9286657,False,True,True
9288019,True,False,False
9288095,True,False,False
9288265,True,False,False
9288693,False,True,True
9288708,False,True,True
9288710,False,True,True
9288722,False,True,True
9288734,False,True,True
9288746,False,True,True
9288758,True,False,False
9288851,True,True,True
9288863,False,True,True
9288875,True,False,False
9288899,False,True,True
9288930,False,True,True
9289166,True,False,False
9289477,True,True,False
9289491,True,False,False
9289520,False,True,True
9289726,True,False,False
9289738,False,True,True
9289740,True,False,False
9289752,False,True,True
9289776,True,True,True
9290086,True,False,False
9290309,False,True,True
9290335,False,True,True
9290359,True,False,False
9290373,False,True,False
9290385,False,True,True
9290397,False,True,True
9290517,False,True,True
9290775,True,False,False
9290828,False,True,True
9290919,True,False,False
9290921,False,True,True
9291250,False,True,True
9291262,True,True,True
9292034,True,True,True
9292046,False,True,True
9292058,True,True,True
9292060,True,True,True
9292151,True,False,False
9292163,True,False,False
9292187,True,False,True
9292199,False,True,True
9292204,False,True,True
9292228,True,False,False
9292486,True,False,False
9292503,False,True,True
9292577,False,True,True
9292589,False,True,True
9292838,False,True,True
9292981,False,True,True
9293002,False,True,True
9293117,False,True,True
9293143,True,False,False
9293155,True,True,True
9293741,True,False,False
9293959,False,True,True
9293997,False,True,True
9294123,False,True,True
9294240,True,False,False
9294264,False,True,False
9294305,True,False,False
9294329,True,False,False
9294331,False,True,True
9294795,True,False,False
9295098,True,False,False
9295593,True,False,False
9296377,False,True,True
9296391,False,True,True
9296406,False,True,True
9296585,True,True,False
9296597,False,True,False
9296810,False,True,True
9296822,True,True,True
9297101,True,False,False
9297149,False,False,True
9297319,True,False,False
9297357,True,True,True
9297371,False,True,True
9297541,False,True,True
9297553,False,True,True
9297888,False,True,True
9297905,True,False,False
9298272,True,False,False
9298284,True,False,False
9298492,True,True,True
9298595,False,True,True
9299123,False,True,True
9299135,False,True,False
9299161,False,True,True
9299173,False,True,True
9299446,True,False,False
9299458,True,False,False
9299563,True,False,False
9299666,False,True,True
9299678,False,True,True
9299680,True,True,True
9299692,True,True,True
9299707,True,True,True
9299719,True,True,True
9299721,True,True,True
9299733,False,True,True
9299745,True,True,False
9299769,True,True,True
9299771,False,True,True
9299862,False,True,True
9299874,False,True,True
9299886,False,True,True
9299898,False,True,True
9299903,True,True,True
9300348,True,True,True
9300350,True,True,True
9300817,False,True,False
9300996,True,False,False
9301005,True,False,False
9301380,True,True,True
9301392,True,True,True
9301407,True,True,True
9301419,True,True,True
9301421,True,True,True
9301524,False,True,True
9301615,True,True,False
9302023,True,False,False
9302566,True,False,False
9303754,True,False,False
9304356,True,True,True
9304629,False,True,True
9304655,True,False,False
9304667,True,False,False
9304825,False,True,True
9305192,True,False,False
9305207,True,False,False
9305219,True,False,False
9305221,True,False,False
9305556,False,True,True
9305568,False,True,True
9305609,True,False,False
9306548,True,False,False
9306562,False,True,True
9306627,False,True,True
9306665,True,False,False
9306782,True,True,True
9306794,False,True,True
9306809,False,True,True
9307009,True,False,False
9307023,True,False,False
9307047,True,False,False
9307205,False,True,False
9307633,True,False,False
9307724,True,False,False
9307748,True,False,False
9307815,False,True,True
9307932,True,False,False
9308065,True,True,True
9308077,False,True,True
9308132,False,True,True
9308170,False,True,True
9308443,False,True,True
9308778,True,False,False
9308821,False,True,True
9308833,False,True,True
9308857,False,True,True
9308950,False,True,True
9308998,True,False,False
9309227,True,False,False
9309239,True,False,False
9309576,True,True,True
9309588,True,True,True
9310018,True,False,False
9310147,True,False,False
9310159,True,False,False
9310525,False,True,True
9310707,False,True,True
9311270,True,False,False
9311309,True,False,False
9311531,False,True,True
9311610,False,True,True
9311622,True,True,True
9311751,False,True,True
9312353,True,False,False
9312494,True,False,False
9312509,True,False,False
9312872,True,True,True
9312884,True,True,True
9312896,True,True,True
9313149,True,False,False
9313242,True,False,False
9313498,False,True,True
9313589,True,True,True
9314088,True,True,True
9314105,True,True,True
